Sun May 26 10:46:40 2024    profile_output

         35856598 function calls (35200488 primitive calls) in 51.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      177    0.003    0.000    3.943    0.022 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/data_processing/data_processor.py:790(transform)
      177    0.006    0.000    3.845    0.022 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:821(_sample_with_conditions)
      177    0.001    0.000    3.843    0.022 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/hyper_transformer.py:806(transform_subset)
      177    0.009    0.000    3.831    0.022 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/hyper_transformer.py:778(_transform)
     4494    0.023    0.000    3.744    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/selectors.py:451(select)
    14868    0.611    0.000    3.740    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:16(set_random_states)
     4425    0.038    0.000    3.641    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:284(_add_columns_to_data)
    23753    0.119    0.000    3.154    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
    45025    0.059    0.000    3.121    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2836(min)
    48388    0.065    0.000    3.060    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2692(max)
    26727    0.081    0.000    3.051    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:6662(copy)
    96741    0.076    0.000    3.043    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/contextlib.py:141(__exit__)
6089/6088    0.059    0.000    2.959    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
      389    1.179    0.003    2.907    0.007 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/core.py:2310(inplace_predict)
37452/36213    0.358    0.000    2.553    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
     7434    0.024    0.000    2.183    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:10803(where)
     7434    0.135    0.000    2.151    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:10615(_where)
    96741    0.055    0.000    2.009    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/contextlib.py:132(__enter__)
    36462    0.128    0.000    1.954    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:557(copy)
    76464    0.379    0.000    1.952    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:317(apply)
      177    0.002    0.000    1.946    0.011 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:719(_conditionally_sample_rows)
5804595/5709679    1.214    0.000    1.923    0.000 {built-in method builtins.isinstance}
      177    0.002    0.000    1.870    0.011 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:699(_sample_in_batches)
      177    0.001    0.000    1.829    0.010 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:579(_sample_batch)
    16461    0.024    0.000    1.816    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
    30833    0.254    0.000    1.759    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
     3717    0.017    0.000    1.739    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:410(transform)
     4425    0.009    0.000    1.727    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:5433(drop)
     4425    0.021    0.000    1.718    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:4757(drop)
     5133    0.022    0.000    1.716    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:157(concat)
     4425    0.042    0.000    1.689    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:4796(_drop_axis)
    83324    0.435    0.000    1.604    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
      389    0.015    0.000    1.540    0.004 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/data.py:474(_transform_pandas_df)
     5133    0.058    0.000    1.525    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:622(get_result)
  178/177    0.009    0.000    1.508    0.009 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/src/simulation/Pitcher.py:104(generate_pitch_type)
1806/1805    0.007    0.000    1.426    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
   118903    0.107    0.000    1.302    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
      177    0.001    0.000    1.254    0.007 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:1025(sample_remaining_columns)
    22833    1.228    0.000    1.228    0.000 {method 'set_state' of 'numpy.random.mtrand.RandomState' objects}
    16107    0.066    0.000    1.228    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6201(_construct_result)
