Sun May 26 10:46:40 2024    profile_output

         35856598 function calls (35200488 primitive calls) in 51.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46833    0.031    0.000    0.101    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
      566    0.007    0.000    0.100    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:928(_finalize_columns_and_data)
     8319    0.029    0.000    0.100    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/warnings.py:131(filterwarnings)
   110160    0.088    0.000    0.099    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:2004(internal_values)
    22828    0.042    0.000    0.098    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
     3363    0.066    0.000    0.098    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1935(delete)
      931    0.007    0.000    0.097    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/sugar/socket.py:703(send_multipart)
   169809    0.062    0.000    0.097    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
    16638    0.014    0.000    0.096    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:5598(<genexpr>)
    14407    0.012    0.000    0.095    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6415(_is_comparable_dtype)
      354    0.017    0.000    0.095    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/__init__.py:27(set_random_state)
      708    0.021    0.000    0.095    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:464(format_meter)
    41238    0.095    0.000    0.095    0.000 {method 'dot' of 'numpy.ndarray' objects}
    60330    0.094    0.000    0.094    0.000 {method 'search' of 're.Pattern' objects}
     5664    0.017    0.000    0.093    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6459(any)
    31152    0.036    0.000    0.093    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/range.py:483(_view)
      354    0.000    0.000    0.093    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/ops.py:1162(_sorted_data)
    45913    0.057    0.000    0.093    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/range.py:201(_simple_new)
      929    0.007    0.000    0.092    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/jupyter_client/session.py:690(serialize)
    14549    0.039    0.000    0.090    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1580(construct_1d_object_array_from_listlike)
     7434    0.007    0.000    0.090    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:476(<genexpr>)
    77880    0.026    0.000    0.090    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:707(dtype)
   288810    0.089    0.000    0.089    0.000 {built-in method __new__ of type object at 0x935660}
    16177    0.015    0.000    0.089    0.000 {method 'max' of 'numpy.ndarray' objects}
     7434    0.052    0.000    0.088    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1974(get_slice)
     3988    0.009    0.000    0.088    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/eventloop/zmqstream.py:687(_update_handler)
    75651    0.060    0.000    0.088    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
   126728    0.076    0.000    0.088    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
      354    0.003    0.000    0.088    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:12169(_logical_func)
3985/3851    0.010    0.000    0.087    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/ipykernel/iostream.py:259(schedule)
     7788    0.013    0.000    0.087    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:438(convert)
     7975    0.021    0.000    0.087    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/sugar/attrsettr.py:43(__getattr__)
     2124    0.002    0.000    0.087    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/utils.py:378(disp_len)
     9027    0.023    0.000    0.087    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
    88741    0.086    0.000    0.086    0.000 {method 'set' of '_contextvars.ContextVar' objects}
   156184    0.086    0.000    0.086    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
      389    0.004    0.000    0.085    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sklearn/preprocessing/_label.py:139(inverse_transform)
      813    0.004    0.000    0.085    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sklearn/utils/validation.py:1309(column_or_1d)
    99444    0.026    0.000    0.084    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/base.py:84(<genexpr>)
    38618    0.084    0.000    0.084    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:90(_clip)
      566    0.004    0.000    0.083    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:1006(convert_object_array)
    15228    0.030    0.000    0.083    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:274(make_block)
   117131    0.059    0.000    0.083    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:416(extract_array)
     3929    0.008    0.000    0.083    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/range.py:1009(__getitem__)
     2124    0.002    0.000    0.082    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/utils.py:374(_text_width)
      424    0.001    0.000    0.082    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sklearn/preprocessing/_label.py:118(transform)
    20106    0.015    0.000    0.082    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:511(_validate_dtype)
     6195    0.012    0.000    0.082    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:387(apply)
     3717    0.014    0.000    0.082    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:3238(union)
      531    0.008    0.000    0.081    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6956(insert)
    77899    0.036    0.000    0.081    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1399(_get_dtype)
     8850    0.039    0.000    0.080    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:1697(_validate_names)
    82970    0.031    0.000    0.080    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:758(_maybe_repeat)
    11414    0.018    0.000    0.079    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
   107459    0.028    0.000    0.079    0.000 <frozen abc>:117(__instancecheck__)
    11853    0.047    0.000    0.079    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:1028(convert)
    31292    0.034    0.000    0.079    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
   193726    0.052    0.000    0.078    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:909(__len__)
    43540    0.056    0.000    0.078    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/_config/config.py:635(_get_root)
    17346    0.014    0.000    0.078    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:536(is_string_dtype)
      354    0.000    0.000    0.077    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:3951(T)
     3717    0.007    0.000    0.077    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/range.py:137(__new__)
    14230    0.020    0.000    0.077    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6324(_maybe_downcast_for_indexing)
      354    0.007    0.000    0.076    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:3767(transpose)
      354    0.002    0.000    0.076    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/numerical.py:153(_transform)
     1416    0.024    0.000    0.074    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/algorithms.py:548(factorize_array)
     5841    0.017    0.000    0.074    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6418(_reduce)
    20709    0.026    0.000    0.073    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:273(is_dict_like)
    16177    0.007    0.000    0.073    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:39(_amax)
   158483    0.073    0.000    0.073    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/flags.py:51(__init__)
    52137    0.023    0.000    0.073    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/common.py:568(require_length_match)
    41169    0.012    0.000    0.073    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:913(__init__)
      531    0.001    0.000    0.072    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arraylike.py:192(__sub__)
     4425    0.006    0.000    0.072    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/common.py:266(index_labels_to_array)
     7788    0.012    0.000    0.072    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/array_algos/putmask.py:101(validate_putmask)
      531    0.001    0.000    0.072    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6133(_arith_method)
   229672    0.071    0.000    0.071    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
    40815    0.056    0.000    0.071    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:3777(get_loc)
     8496    0.021    0.000    0.071    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:5651(identical)
      531    0.005    0.000    0.070    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/base.py:1371(_arith_method)
     5272    0.010    0.000    0.070    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/json/__init__.py:183(dumps)
      177    0.000    0.000    0.070    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:11603(any)
    18336    0.027    0.000    0.069    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:769(_try_cast)
      813    0.013    0.000    0.069    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sklearn/utils/validation.py:718(check_array)
      354    0.003    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:7885(replace)
    45664    0.038    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
     2478    0.003    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/base.py:235(round)
      354    0.002    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:5486(isin)
   124818    0.037    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1590(<genexpr>)
    21948    0.028    0.000    0.068    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:1471(_set_as_cached)
      177    0.002    0.000    0.067    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:11435(_reduce)
    57162    0.066    0.000    0.066    0.000 {built-in method numpy.array}
      177    0.002    0.000    0.066    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:6538(dropna)
    12984    0.021    0.000    0.065    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:633(is_integer_dtype)
      566    0.009    0.000    0.065    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:891(_list_of_dict_to_arrays)
     7788    0.018    0.000    0.065    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1265(_iset_single)
      177    0.001    0.000    0.064    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:5095(insert)
   277794    0.064    0.000    0.064    0.000 {method 'append' of 'list' objects}
    77880    0.054    0.000    0.064    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1993(dtype)
     3044    0.028    0.000    0.064    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:982(_open_support_mask)
     7434    0.022    0.000    0.063    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:10535(_align_series)
    11186    0.013    0.000    0.063    0.000 {method 'all' of 'numpy.ndarray' objects}
     6195    0.024    0.000    0.063    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/numeric.py:2378(array_equal)
     4425    0.050    0.000    0.062    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/lib/function_base.py:5173(delete)
    84910    0.033    0.000    0.062    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/numerictypes.py:283(issubclass_)
    88741    0.061    0.000    0.061    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     4425    0.015    0.000    0.061    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:935(_verify_integrity)
      354    0.001    0.000    0.061    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/ops.py:596(shape)
     3716    0.005    0.000    0.060    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/jupyter_client/session.py:92(json_packer)
   206028    0.040    0.000    0.060    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/utils.py:375(<genexpr>)
     8319    0.009    0.000    0.060    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/astype.py:157(astype_array)
      177    0.000    0.000    0.059    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/io/formats/csvs.py:272(_save)
     1770    0.001    0.000    0.059    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/ops.py:598(<genexpr>)
     3964    0.020    0.000    0.059    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:1146(take)
   239904    0.059    0.000    0.059    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/util/version/__init__.py:348(<genexpr>)
     1770    0.002    0.000    0.058    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/algorithms.py:262(_get_hashtable_algo)
     1416    0.002    0.000    0.058    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/grouper.py:676(ngroups)
     5272    0.010    0.000    0.058    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/json/encoder.py:183(encode)
     9027    0.007    0.000    0.058    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/computation/expressions.py:226(evaluate)
      708    0.001    0.000    0.057    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arraylike.py:38(__eq__)
     7965    0.021    0.000    0.056    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/base.py:541(to_numpy)
    12954    0.024    0.000    0.056    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/warnings.py:182(_add_filter)
    28886    0.051    0.000    0.056    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:948(from_blocks)
    11965    0.021    0.000    0.056    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/enum.py:1562(__and__)
     1416    0.003    0.000    0.055    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/grouper.py:744(_group_index)
      354    0.001    0.000    0.055    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/base.py:267(replace_list)
    47267    0.034    0.000    0.054    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    82616    0.040    0.000    0.053    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/construction.py:735(_sanitize_str_dtypes)
      177    0.002    0.000    0.053    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/io/formats/csvs.py:305(_save_body)
    11414    0.016    0.000    0.053    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
   198092    0.051    0.000    0.051    0.000 {method 'items' of 'dict' objects}
     9027    0.005    0.000    0.051    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/computation/expressions.py:67(_evaluate_standard)
    50231    0.034    0.000    0.051    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:180(blknos)
   107459    0.049    0.000    0.051    0.000 {built-in method _abc._abc_instancecheck}
    29415    0.044    0.000    0.050    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/warnings.py:482(__enter__)
    11186    0.006    0.000    0.050    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
      177    0.007    0.000    0.050    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/io/formats/csvs.py:315(_save_chunk)
    37077    0.027    0.000    0.050    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:219(_can_consolidate)
      354    0.005    0.000    0.049    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1021(replace_list)
   112039    0.049    0.000    0.049    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:831(_reset_identity)
     7975    0.040    0.000    0.048    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/sugar/attrsettr.py:66(_get_attr_opt)
   244509    0.048    0.000    0.048    0.000 {built-in method builtins.hash}
      354    0.005    0.000    0.048    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/null.py:124(transform)
      354    0.000    0.000    0.048    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/utils.py:217(try_convert_to_dtype)
      389    0.003    0.000    0.048    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/lib/arraysetops.py:939(setdiff1d)
     5203    0.028    0.000    0.047    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/shape_base.py:219(vstack)
     4956    0.047    0.000    0.047    0.000 {method 'round' of 'numpy.ndarray' objects}
    40107    0.038    0.000    0.047    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:586(_get_axis)
     2478    0.009    0.000    0.047    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1897(round)
     6018    0.006    0.000    0.046    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/nanops.py:482(nanany)
     7627    0.015    0.000    0.046    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/random.py:889(getrandbits)
     2476    0.040    0.000    0.046    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:2246(_stack_arrays)
     3221    0.011    0.000    0.045    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
      354    0.004    0.000    0.045    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
     5272    0.028    0.000    0.045    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/json/encoder.py:205(iterencode)
      212    0.011    0.000    0.044    0.000 {method 'multivariate_normal' of 'numpy.random.mtrand.RandomState' objects}
     3987    0.022    0.000    0.044    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/sugar/socket.py:778(recv_multipart)
    43540    0.030    0.000    0.043    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/_config/config.py:676(_translate_key)
    12036    0.036    0.000    0.043    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:324(slice_block_columns)
      354    0.002    0.000    0.043    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:4620(map)
    64620    0.027    0.000    0.042    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/enum.py:1544(_get_value)
     5133    0.013    0.000    0.042    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:480(_get_ndims)
    28707    0.042    0.000    0.042    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1062    0.001    0.000    0.041    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:220(__init__)
    16531    0.040    0.000    0.041    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:551(maybe_promote)
     1097    0.005    0.000    0.041    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1633(as_array)
     9575    0.015    0.000    0.041    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/enum.py:1551(__or__)
     1062    0.001    0.000    0.041    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:373(_finalize)
      354    0.001    0.000    0.040    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:243(_from_values_or_dtype)
    16461    0.008    0.000    0.040    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/ops/dispatch.py:17(should_extension_dispatch)
    15222    0.019    0.000    0.040    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/ops/common.py:103(_maybe_match_name)
    17346    0.029    0.000    0.040    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:572(condition)
      778    0.002    0.000    0.040    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/config.py:155(config_context)
    25556    0.039    0.000    0.039    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7147    0.014    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:2313(is_unique)
     1593    0.008    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/algorithms.py:1452(safe_sort)
    27116    0.018    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:609(_dtype_to_subclass)
    54232    0.030    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1331(is_ea_or_datetimelike_dtype)
      354    0.001    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/utils.py:194(check_nan_in_transform)
      708    0.003    0.000    0.039    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/dtypes.py:550(validate_categories)
     5133    0.013    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:545(_get_sample_object)
   103693    0.038    0.000    0.038    0.000 {method 'split' of 'str' objects}
     7434    0.009    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:352(na_logical_op)
     1556    0.002    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/config.py:106(wrap)
     9204    0.013    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:978(__array__)
      354    0.001    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:2949(_get_codes_for_values)
      177    0.001    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:4477(__delitem__)
   316793    0.038    0.000    0.038    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:405(flags)
      354    0.015    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/algorithms.py:457(isin)
     2513    0.016    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6219(_raise_if_missing)
    10192    0.024    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/base.py:836(__iter__)
     6195    0.006    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:414(_split_op_result)
     4425    0.005    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:423(<genexpr>)
      177    0.010    0.000    0.037    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:2214(ppf)
    12390    0.016    0.000    0.036    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2811(ensure_block_shape)
      389    0.001    0.000    0.036    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:12590(values)
